url,label
https://www.github.com,safe
http://fake-support-alert.tk,alert
https://www.microsoft.com,safe
https://www.apple.com,safe
https://www.ibm.com,safe
http://secure-update.badactor.ru,alert
https://www.wikipedia.org,safe
http://driveby-download.ru,alert
https://www.amazon.com,safe
https://www.stackoverflow.com,safe
https://www.wikipedia.org,safe
http://credential-harvest.cn,alert
https://session-expired-update.net,warning
https://www.ibm.com,safe
https://secure-paypal-verification.net,warning
https://www.github.com,safe
http://verify-now.example,warning
https://www.oracle.com,safe
https://www.wikipedia.org,safe
https://account-reset-warning.com,warning
https://www.amazon.com,safe
https://account-reset-warning.com,warning
http://login-google.verify-user.ru,alert
https://www.wikipedia.org,safe
https://www.python.org,safe
https://www.stackoverflow.com,safe
https://session-expired-update.net,warning
https://www.github.com,safe
https://www.python.org,safe
http://update-bank-info.cn,alert
https://www.stackoverflow.com,safe
https://www.microsoft.com,safe
http://login-google.verify-user.ru,alert
https://www.microsoft.com,safe
https://www.google.com,safe
http://payment-review.example,warning
https://www.ibm.com,safe
https://www.amazon.com,safe
http://free-gift-card.xyz,alert
https://www.google.com,safe
https://www.wikipedia.org,safe
https://login-security-check.net,warning
https://www.stackoverflow.com,safe
http://update-bank-info.cn,alert
http://payment-review.example,warning
http://verify-now.example,warning
https://unusual-activity-alert.net,warning
https://session-expired-update.net,warning
http://verify-now.example,warning
http://malware-download.exe,alert
https://www.amazon.com,safe
http://phishing-site-login.ml,alert
https://login-security-check.net,warning
http://payment-review.example,warning
http://banking-alert.example,warning
http://login-google.verify-user.ru,alert
http://paypal-secure-login.tk,alert
https://session-expired-update.net,warning
http://secure-update.badactor.ru,alert
https://www.microsoft.com,safe
https://www.python.org,safe
https://session-expired-update.net,warning
http://paypal-secure-login.tk,alert
https://www.github.com,safe
http://paypal-secure-login.tk,alert
https://www.amazon.com,safe
http://phishing-site-login.ml,alert
https://www.apple.com,safe
http://confirm-identity.example,warning
http://payment-review.example,warning
http://example-login-update.com,warning
https://www.github.com,safe
http://banking-alert.example,warning
http://secure-update.badactor.ru,alert
http://credential-harvest.cn,alert
http://update-bank-info.cn,alert
http://paypal-secure-login.tk,alert
http://driveby-download.ru,alert
http://credential-harvest.cn,alert
http://example-login-update.com,warning
http://update-bank-info.cn,alert
http://paypal-secure-login.tk,alert
http://free-gift-card.xyz,alert
https://www.python.org,safe
http://fake-support-alert.tk,alert
https://account-reset-warning.com,warning
http://login-google.verify-user.ru,alert
http://driveby-download.ru,alert
http://malware-download.exe,alert
https://login-security-check.net,warning
http://update-bank-info.cn,alert
https://www.github.com,safe
https://www.oracle.com,safe
http://payment-review.example,warning
https://login-security-check.net,warning
https://www.ibm.com,safe
https://www.stackoverflow.com,safe
https://www.apple.com,safe
http://secure-update.badactor.ru,alert
http://payment-review.example,warning
http://driveby-download.ru,alert
https://www.google.com,safe
https://secure-paypal-verification.net,warning
http://confirm-identity.example,warning
https://account-reset-warning.com,warning
https://www.ibm.com,safe
http://verify-now.example,warning
https://session-expired-update.net,warning
http://verify-now.example,warning
http://credential-harvest.cn,alert
http://confirm-identity.example,warning
http://paypal-secure-login.tk,alert
https://account-reset-warning.com,warning
http://payment-review.example,warning
http://secure-update.badactor.ru,alert
https://www.amazon.com,safe
http://fake-support-alert.tk,alert
https://www.ibm.com,safe
http://verify-now.example,warning
http://fake-support-alert.tk,alert
http://verify-now.example,warning
http://driveby-download.ru,alert
http://paypal-secure-login.tk,alert
https://www.wikipedia.org,safe
http://confirm-identity.example,warning
https://www.wikipedia.org,safe
http://free-gift-card.xyz,alert
https://www.python.org,safe
https://www.google.com,safe
http://malware-download.exe,alert
http://paypal-secure-login.tk,alert
http://login-google.verify-user.ru,alert
https://www.stackoverflow.com,safe
https://www.amazon.com,safe
https://www.python.org,safe
https://www.ibm.com,safe
https://www.wikipedia.org,safe
https://login-security-check.net,warning
https://login-security-check.net,warning
http://free-gift-card.xyz,alert
https://secure-paypal-verification.net,warning
https://login-security-check.net,warning
https://www.microsoft.com,safe
http://phishing-site-login.ml,alert
https://www.oracle.com,safe
https://www.github.com,safe
http://secure-update.badactor.ru,alert
https://unusual-activity-alert.net,warning
http://fake-support-alert.tk,alert
https://www.oracle.com,safe
https://www.ibm.com,safe
http://phishing-site-login.ml,alert
https://unusual-activity-alert.net,warning
https://www.python.org,safe
https://www.wikipedia.org,safe
https://www.microsoft.com,safe
http://login-google.verify-user.ru,alert
http://driveby-download.ru,alert
https://www.oracle.com,safe
http://fake-support-alert.tk,alert
https://login-security-check.net,warning
https://www.apple.com,safe
http://phishing-site-login.ml,alert
https://secure-paypal-verification.net,warning
https://www.github.com,safe
https://www.amazon.com,safe
